;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-24JUN22-30000-C;1649518262006;open;0.31682839;180.7;0.0001;0.8175;0.317781;0.351;BTC-24JUN22-30000-C;42364.53;;42364.53;;0.297;12.0;0.35;9.0;;9.2;0.0;0.351;0.351;42691.71;BTC-24JUN22;73.06;0.0;0.0;104.91;36.54243;-17.63703;50.66063;1e-05;0.89005;75.0;30000.0;1.6560648e+18;0.7079813092934346
BTC-22APR22-35000-P;1649518262008;open;0.00125102;519.9;0.0001;0.5025;0.00266109;0.002;BTC-22APR22-35000-P;42364.53;;42364.53;;0.0;0.0;0.003;11.4;;36.0;0.0;0.002;0.002;42368.89;BTC-22APR22;64.8;0.0;0.0;66.5;8.18598;-20.90578;-0.77998;2e-05;-0.0503;12.0;35000.0;1.6506216e+18;0.8259781941756738
BTC-24JUN22-55000-C;1649518262009;open;0.06916726;424.8;0.0001;0.5525;0.05291591;0.0685;BTC-24JUN22-55000-C;42364.53;;42364.53;;0.0525;8.2;0.0;0.0;;;;;;42690.92;BTC-24JUN22;76.14;0.0;75.88;0.0;66.40029;-33.40092;20.86985;2e-05;0.28867;75.0;55000.0;1.6560648e+18;1.2979657337046302
BTC-30SEP22-300000-C;1649518262006;open;0.00257102;470.6;0.0001;0.501;0.0014399;0.0015;BTC-30SEP22-300000-C;42364.53;;42364.53;;0.0015;0.9;0.0;0.0;;;;;;43444.68;BTC-30SEP22;100.96;0.0;101.36;0.0;6.29691;-1.83005;1.27851;0.0;0.00762;173.0;300000.0;1.664532e+18;7.079813092934346
BTC-30SEP22-60000-P;1649518262007;open;0.48188267;288.1;0.0001;0.959;0.45926751;0.3775;BTC-30SEP22-60000-P;42364.53;;42364.53;;0.0;0.0;0.6815;0.1;;10.0;297.3684;0.095;0.3775;43444.68;BTC-30SEP22;67.63;0.0;0.0;150.02;107.61579;-20.95134;-234.86217;2e-05;-0.67681;173.0;60000.0;1.664532e+18;1.4159626185868692
BTC-30SEP22-50000-C;1649518262006;open;0.15789562;671.8;0.0001;0.63;0.13007116;0.141;BTC-30SEP22-50000-C;42364.53;;42364.53;;0.1295;0.9;0.131;0.6;;;;;;43444.68;BTC-30SEP22;67.05;0.0;66.84;67.39;119.24489;-23.01663;70.49514;2e-05;0.47107;173.0;50000.0;1.664532e+18;1.1799688488223912
BTC-24JUN22-25000-C;1649518262006;open;0.44615977;119.5;0.0001;0.923;0.42305079;0.4005;BTC-24JUN22-25000-C;42364.53;;42364.53;;0.4005;10.0;0.447;10.0;;42.9;-10.2018;0.001;0.446;42691.71;BTC-24JUN22;79.97;0.0;0.0;116.58;19.82865;-10.47524;46.7096;1e-05;0.95069;75.0;25000.0;1.6560648e+18;0.5899844244111956
BTC-11APR22-46000-C;1649518262008;open;;0.0;0.0001;0.503;0.00336556;;BTC-11APR22-46000-C;42364.53;;42364.53;;0.0;0.0;0.0005;12.0;;;;;;42368.64209074;SYN.BTC-11APR22;95.99;0.0;0.0;63.7;5.40887;-142.5942;0.2084;7e-05;0.1098;1.0;46000.0;1.6496712e+18;1.0855713409166
BTC-29APR22-40000-P;1649518262008;open;0.02637318;300.8;0.0001;0.527;0.02723725;0.0265;BTC-29APR22-40000-P;42364.53;;42364.53;;0.027;2.2;0.028;12.0;;26.0;-10.1695;0.022;0.0295;42431.82;BTC-29APR22;56.56;0.0;56.25;57.48;34.43092;-49.45699;-7.5644;6e-05;-0.30327;19.0;40000.0;1.6512264e+18;0.9439750790579129
BTC-30SEP22-80000-C;1649518262007;open;0.05872234;274.5;0.0001;0.5575;0.05790168;0.053;BTC-30SEP22-80000-C;42364.53;;42364.53;;0.0525;22.8;0.064;24.9;;;;;;43444.68;BTC-30SEP22;84.19;0.0;81.52;87.1;89.50988;-21.69405;34.20667;1e-05;0.22337;173.0;80000.0;1.664532e+18;1.8879501581158258
BTC-30SEP22-50000-P;1649518262006;open;0.30492401;331.1;0.0001;0.7805;0.28097331;0.5015;BTC-30SEP22-50000-P;42364.53;;42364.53;;0.248;29.5;0.0;0.0;;4.3;100.6;0.248;0.502;43444.68;BTC-30SEP22;67.05;0.0;54.97;0.0;119.24489;-23.01663;-167.43199;2e-05;-0.52893;173.0;50000.0;1.664532e+18;1.1799688488223912
BTC-30DEC22-50000-P;1649518263013;open;0.30050467;179.3;0.0001;0.802;0.30247628;0.131;BTC-30DEC22-50000-P;42365.76;;42365.76;;0.2515;7.0;0.0;0.0;;2.1;-54.9828;0.131;0.291;44081.38;BTC-30DEC22;64.07;0.0;49.05;0.0;149.62497;-18.10881;-251.187;2e-05;-0.4833;264.0;50000.0;1.6723944e+18;1.1799688488223912
BTC-30DEC22-25000-C;1649518263016;open;0.47965386;126.3;0.0001;0.9775;0.47793046;0.5115;BTC-30DEC22-25000-C;42365.76;;42365.76;;0.451;12.0;0.0;0.0;;24.0;0.0;0.5115;0.5115;44082.61;BTC-30DEC22;73.27;0.0;54.26;0.0;71.0684;-9.83703;131.39095;1e-05;0.88895;264.0;25000.0;1.6723944e+18;0.5899844244111956
BTC-29APR22-45000-P;1649518263015;open;0.0862552;139.5;0.0001;0.586;0.08600432;0.0865;BTC-29APR22-45000-P;42365.76;;42365.76;;0.083;12.0;0.088;6.9;;41.4;18.4932;0.073;0.0865;42432.28;BTC-29APR22;52.45;0.0;48.89;54.81;35.97419;-47.92567;-17.14784;7e-05;-0.66326;19.0;45000.0;1.6512264e+18;1.061971963940152
BTC-30SEP22-250000-C;1649518263013;open;0.00268664;194.7;0.0001;0.501;0.00121343;0.0015;BTC-30SEP22-250000-C;42365.76;;42365.76;;0.001;3.7;0.0;0.0;;180.0;0.0;0.0015;0.0015;43444.09;BTC-30SEP22;91.52;0.0;89.82;0.0;5.85363;-1.54219;1.20011;0.0;0.00702;173.0;250000.0;1.664532e+18;5.899844244111955
BTC-27MAY22-55000-C;1649518263016;open;0.0304239;18.9;0.0001;0.5125;0.01253166;0.0335;BTC-27MAY22-55000-C;42365.76;;42365.76;;0.012;12.0;0.013;12.0;;;;;;42514.34;BTC-27MAY22;57.95;0.0;57.24;58.55;32.5723;-19.79022;6.54525;2e-05;0.13037;47.0;55000.0;1.6536456e+18;1.2979657337046302
BTC-29APR22-60000-P;1649518263015;open;0.41738269;27.5;0.0001;0.9205;0.4207764;0.0005;BTC-29APR22-60000-P;42365.76;;42365.76;;0.0005;0.1;0.0;0.0;;1.0;0.0;0.0005;0.0005;42432.28;BTC-29APR22;95.73;0.0;0.0;0.0;13.79737;-33.54454;-30.82424;1e-05;-0.92607;19.0;60000.0;1.6512264e+18;1.4159626185868692
