,Type,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
12/03/2022,C,38904.011719,60000,0.0,0.04,25,0.8073,150.3414179069034,150.64111528340618,0.11945703769998912,0.11942358854143721,0.011069955196082138,0.011062393620587354,612.1078650545966,611.6897513630387,-355954.6344967608,-974.5467559982656,74.97057376711581,74.94766338454022
13/03/2022,C,37849.664063,60000,0.0,0.04,24,0.8063,95.27604167909128,95.48227620575744,0.12969801485120247,0.12966274034324787,0.013409823672957392,0.013401117439190235,710.9484379729674,710.4868596966033,-430711.59986683796,-1179.2602908145504,78.70554401174958,78.68234981473292
14/03/2022,C,39666.753906,60000,0.0,0.04,23,0.8232,170.81276111990024,171.15461222545036,0.11992919737521478,0.11989433812590998,0.01109372103189429,0.01108581376354057,575.4632233684215,575.053050611999,-371090.40558121505,-1015.9558319817788,69.27045314054631,69.2484870382352
15/03/2022,C,39338.785156,60000,0.0,0.04,22,0.8205,136.1242033238754,136.41278926729683,0.1270321595769118,0.12699527659527754,0.01265560497532733,0.012646710603294623,625.8803435880375,625.4404742467788,-420919.1908864791,-1152.387048322136,70.53993179978245,70.51770096154124
16/03/2022,C,41143.929688,60000,0.0,0.04,21,0.8447,241.51948802230177,241.98708522226298,0.1160251982679279,0.11598927445676181,0.010147712970457514,0.010139858884741679,493.17050977823214,492.7888076678588,-357387.83089673653,-978.3810033897374,61.00079900346535,60.98013050937026
17/03/2022,C,40951.378906,60000,0.0,0.04,20,0.8032,162.9081653261693,163.26900598795646,0.1327171200014344,0.1326749586691655,0.013759036629494134,0.013748405666151205,605.5483956608048,605.080516769999,-438509.84534765984,-1200.4619561761947,67.24225753503254,67.21915543516234
18/03/2022,C,41801.15625,60000,0.0,0.04,19,0.7633,148.38980554388053,148.74942609827713,0.14519136315355854,0.14514210896892168,0.0166759655266323,0.016662325909008856,662.5932198440831,662.0512711248604,-479985.6421003072,-1313.9459503229286,70.37358629911267,70.34794713450981
19/03/2022,C,42190.652344,60000,0.0,0.04,18,0.7469,132.79997098428706,133.1431431806891,0.1548002502612496,0.15474581086860412,0.019151795061953577,0.019135677023899737,705.4262004710035,704.8325179307185,-528008.6361926176,-1445.3732428689102,71.40834259458886,71.38149577081963
20/03/2022,C,41247.824219,60000,0.0,0.04,17,0.7701,94.08679016331848,94.34062823856948,0.1616027793397065,0.1615481655095249,0.02122578896318472,0.021208859286114105,761.3196201899324,760.7123920986553,-622937.8518279335,-1705.3096595545403,70.60951366506877,70.58407708662924
21/03/2022,C,41077.996094,60000,0.0,0.04,16,0.7623,68.57628273235407,68.77648424651284,0.17484409638825832,0.17478452684707763,0.0252515894415245,0.025231539157375922,843.8043454805094,843.1343473827092,-726692.7960954829,-1989.3496344602688,72.26042581403104,72.2343131384478
22/03/2022,C,42358.808594,60000,0.0,0.04,15,0.7467,85.01805784655886,85.27312345665905,0.1796729242736946,0.17960695460554787,0.02653168836280303,0.026508869801883002,814.1593849522612,813.4591677150286,-732464.6718674073,-2005.0169145133907,69.72859901658683,69.7014881940585
23/03/2022,C,42892.957031,60000,0.0,0.04,14,0.7029,58.992326597997696,59.195547752693756,0.20624970451109959,0.20616941578271555,0.035664986424241325,0.03563295013695602,961.547576455861,960.6838605965332,-872797.168584381,-2389.065682897074,75.27385926453137,75.24306358789222
24/03/2022,C,43960.933594,60000,0.0,0.04,13,0.6774,60.6893983959957,60.91383497818015,0.22137913730709147,0.22128607617465193,0.04121851314013811,0.04117859263386951,994.4615627799567,993.4984176777554,-936843.3570419744,-2564.1949639307823,75.28572013677231,75.2525750759037
25/03/2022,C,44348.730469,60000,0.0,0.04,12,0.6434,39.008235457889135,39.17416243898231,0.25454387610957185,0.2544313423512452,0.05550513093570262,0.05544939125652187,1174.0931915845829,1172.914137022878,-1138673.3249760962,-3116.5044288358226,80.39798666616058,80.3609892661613
26/03/2022,C,44500.828125,60000,0.0,0.04,11,0.6462,31.5969720143913,31.739802687511087,0.2704604289034267,0.27033836253353255,0.06313176298535712,0.06306741419405196,1229.4608154863438,1228.207653627824,-1307292.1115850243,-3577.95472250731,78.4949237791149,78.45813665394037
27/03/2022,C,46820.492188,60000,0.0,0.04,10,0.6834,119.45671006216796,119.91617039478797,0.23023772790231434,0.23012036271245148,0.0436745125753025,0.043622238493709074,817.7304628482666,816.7517201808447,-1010668.0128005798,-2765.6219579715853,60.339103534880635,60.30694868834253
28/03/2022,C,47128.003906,60000,0.0,0.04,9,0.6536,78.94661718465385,79.29940654815937,0.2673927071573175,0.26724894024524365,0.06021219983830343,0.06013748063890335,970.3897104899618,969.1855235897989,-1275415.6855655252,-3489.9327683396878,63.46669491550292,63.431245539921456
