,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
1,C,Short,39338.785156,30000,0.0,0.04,0,0.8205,-1000.0,-1000.0,,-0.0,,,,-0.0,,,-0.0,-0.0
2,C,Short,39338.785156,50000,0.0,0.04,7,0.8205,-14.849314618869954,-18.63720902197133,-0.22250659538924084,-0.21504547063051493,-0.04034835630976008,-0.03721492625610451,-634.9062588085125,-585.5998053477704,1349266.2622817184,3408.4665179947733,-40.75468952670372,-39.323788888043964
3,C,Short,39338.785156,45000,0.0,0.04,12,0.8205,-161.82994586273065,-181.18609028621267,-0.10181350192105898,-0.09765453677168506,-0.005736225942224911,-0.004996633794870464,-154.73665925245615,-134.78590779258775,189014.63306721475,450.097455222438,-30.185260905553644,-28.81792989754029
4,C,Short,39338.785156,44000,0.0,0.04,4,0.8205,-88.229694906236,-112.22104647464812,-0.21113639516549312,-0.19730068202440673,-0.031115796588553887,-0.025848160694940038,-279.7864230236544,-232.42099561861144,1038943.7621081499,2362.145843762768,-22.04234467567047,-20.526102139661006
5,C,Short,39338.785156,42000,0.0,0.04,0,0.8205,-0.0,-0.0,,,,,,,,,,
6,C,Short,39338.785156,53000,0.0,0.04,2,0.8205,-0.0003870632833770389,-0.00093838101941646,-0.8446710996178884,-0.8135998679478943,-0.6788177165136466,-0.6278501443468315,-3051.890062462723,-2822.745443488084,22815904.7968026,57812.40428018517,-45.735402718788414,-44.03286947659698
7,C,Short,39338.785156,60000,0.0,0.04,1,0.8205,-3.319229848199424e-20,-3.896453715403078e-19,-2.317445106410907,-2.2489816429773843,-5.293686956662313,-4.982142276799083,-11899.91821353816,-11199.582844146986,178098165.0150407,459216.42243943387,-63.217674148244015,-61.34196282129821
8,C,Short,39338.785156,70000,0.0,0.04,4,0.8205,-7.028822555407588e-09,-1.3140489866714232e-08,-0.8032506937381313,-0.7919341154619638,-0.6238885885001814,-0.6059853717986398,-5609.869445089303,-5448.88764450174,20968591.548362434,55798.36660359636,-86.93158287541164,-85.69140991363983
9,C,Short,39338.785156,55000,0.0,0.04,11,0.8205,-7.499005276589255,-8.976694221809169,-0.19385744737945115,-0.1895355922893039,-0.03116644337465838,-0.02957366725461473,-770.6650265150117,-731.2798186480144,1041339.7421197401,2706.5702998270035,-55.4090937307935,-54.10661685431079
10,C,Short,39338.785156,70000,0.0,0.04,27,0.8205,-3.3923196610028303,-3.7408178820680575,-0.13499006993907212,-0.13362378819292262,-0.01502631693488953,-0.014676106411869755,-912.0151019645895,-890.7592421790583,500401.4393767153,1338.8154790508524,-92.45840790013553,-91.44773373175127
Options, , ,39338.785156,,0.0,0.04,,,-1275.800667395741,-1324.7627962808692,-0.031604496798832114,-0.03475702142866689,-0.0035724467549071493,-0.0036388205777739225,-53.32233289809688,-53.83386179927183,118987.99500056074,331.77014820974983,-6.3991399000449825,-6.858271988174754
