;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
1;C;Short;39338.785156;30000;0.0;0.04;0;0.8205;-500.0;-500.0;;-0.0;;;;-0.0;;;-0.0;-0.0
2;C;Short;39338.785156;50000;0.0;0.04;1;0.8205;-1.0237366917124988e-05;-5.0018648523578245e-05;-1.3450072687805419;-1.2711806464506443;-1.7428387766411588;-1.5512823745136113;-3917.8060718741663;-3487.197776132652;58611917.555251524;142922.9812977379;-36.5755416104258;-34.552894423305325
3;C;Short;39338.785156;45000;0.0;0.04;2;0.8205;-122.98417014517265;-4341.888664153072;-0.4271448624012697;-0.08696791915971014;-0.15380305088197865;-0.0003428549809047175;-691.4816616365123;-1.5414384209990173;5160080.623780369;22.08802474392481;-22.85725273431615;-4.217420227929323
4;C;Short;39338.785156;44000;0.0;0.04;4;0.8205;-88.229694906236;-112.22104647464812;-0.21113639516549312;-0.19730068202440673;-0.031115796588553887;-0.025848160694940038;-279.7864230236544;-232.42099561861144;1038943.7621081499;2362.145843762768;-22.04234467567047;-20.526102139661006
5;C;Short;39338.785156;50000;0.0;0.04;4;0.8205;-11.27808329190997;-87.02406348973935;-0.3649634433894877;-0.2728181974464015;-0.11702246122332005;-0.06062733822293839;-1052.2403225614696;-545.1477371169418;3924495.9922833615;5561.273594153974;-38.90010338514933;-28.801994240701536
6;C;Short;39338.785156;47000;0.0;0.04;12;0.8205;-100.40321362395859;-113.87258440714322;-0.11783609003769066;-0.11367508310790395;-0.00895406617247029;-0.008071544093667423;-241.53900146340408;-217.73266615410822;296689.4897558421;731.9160090600657;-35.45296110828187;-34.08495882999577
7;C;Short;39338.785156;60000;0.0;0.04;22;0.8205;-136.1242033238754;-434.71446675808306;-0.1270321595769118;-0.10192381572937517;-0.01265560497532733;-0.007357691536604085;-625.8803435880375;-363.87312308832975;420919.1908864791;667.3709428920531;-70.53993179978245;-55.40613550811654
8;C;Short;39338.785156;70000;0.0;0.04;25;0.8205;-126.24875422684802;-19220.54112086464;-0.14442943403572833;-0.02030086007936322;-0.017414123420817183;1.1320630344280975e-05;-978.649881286335;0.6362039176357902;580399.8487832407;-3.2687624183595894;-92.07495481899197;-7.055383616002205
9;C;Short;39338.785156;55000;0.0;0.04;26;0.8205;-49.18246290065533;-53.6340981137223;-0.09450744405435964;-0.09281973869600683;-0.006187988822798501;-0.005896456295885202;-361.6667549500288;-344.62767715101097;204513.67135190638;533.6106836538498;-60.19708343598221;-58.99488235879932
10;C;Short;39338.785156;30000;0.0;0.04;27;0.8205;-8620.561779142206;-9575.601002751799;-0.011453949802640032;-0.003840354828796596;0.0006737945391924375;0.0003038806407314824;40.89563650410867;18.443889792999713;-23138.764398293977;-28.4453266830748;-1.07552451154194;4.556449852671017
Options; ; ;39338.785156;;0.0;0.04;;;-9755.01237179823;-34439.49709703149;-0.02316978697118156;-0.026501138436063956;-0.0022856557742638385;-0.0003185849646957454;-2.033872090044771;-2.6956084862465555;76010.69610934501;26.47629299039175;-4.327312450680036;-4.246007747519664
