Date;Positions;Spot;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
07/04/2022;Options;43503.847656;-13441.861721545823;-24057.09353612311;-0.07415921429142554;-0.05289090458997038;-0.0021960847268106;-1.8871554195436842e-05;-26.64106896406747;6.575975774301451;199039.56572442493;-49.410099910970715;-8.848437502660547;-5.702964773976406
07/04/2022;Delta_hedge;43503.847656;3226.2111608228342;2300.9578556701026;-0.3089809854943242;-0.5529877202207696;0;0;0;0;0;0;0;0
07/04/2022;Cash;43503.847656;30215.65056072299;41756.13568045301;0;0;0;0;0;0;0;0;0;0
07/04/2022;Portfolio;43503.847656;20000.0;20000.0;0.0;0.0;0.0014759733613293412;2.269973722258203e-05;17.905278256458047;-7.909943214682479;-133773.11597921257;59.43316975937053;5.946973668125167;6.8598378500382795
08/04/2022;Options;42287.664063;-9688.926192434787;-20378.88303735748;-0.07672870389261405;-0.06649986150443657;0.001052688560148424;7.493581307066277e-05;-8.100946712455315;1.3863458377651918;34149.574546384654;106.70082612520035;-8.991030006236802;-6.176875763654655
08/04/2022;Delta_hedge;42287.664063;3244.677654200263;2812.123803535639;-0.2291194467020042;-0.48191082408801533;0;0;0;0;0;0;0;0
08/04/2022;Cash;42287.664063;30197.18406734556;41244.96973258747;0;0;0;0;0;0;0;0;0;0
08/04/2022;Portfolio;42287.664063;23752.935529111033;23678.210498765635;0.0;0.0;0.002056146392113033;-2.614719051531848e-05;33.45694278798435;-14.555572444227163;-239204.0065737558;8.56834745981004;13.682198246658757;16.904628107187577
09/04/2022;Options;42782.136719;-8491.83416479151;-20533.25297365184;-0.09492488808188575;-0.07471098154207559;0.0003246370525497806;0.0010008057874232106;-3.3680680504354528;7.303375217194437;-5665.020152639177;-91.88140483839459;-8.722087162344183;-4.978183872647661
09/04/2022;Delta_hedge;42782.136719;4061.08953995501;3196.2954267437635;-0.19849018342789307;-0.4799492159196622;0;0;0;0;0;0;0;0
09/04/2022;Cash;42782.136719;29380.77218159081;40860.79810937935;0;0;0;0;0;0;0;0;0;0
09/04/2022;Portfolio;42782.136719;24950.027556754314;23523.840562471272;0.0;0.0;0.0038044952515835623;-0.0009262108249178157;64.84971937396969;-35.6770768444994;-453526.08350780257;97.44966569524911;29.020058667481358;38.37642887689529
10/04/2022;Options;42207.671875;-7694.109388705821;-16401.66859541226;-0.07392640056636778;-0.06450615385613138;0.000580530370505201;0.0009954688333673526;6.544198416063797;6.935631280838825;-129035.80786444467;-152.37735737758712;-4.930105665017154;-5.03015412712942
10/04/2022;Delta_hedge;42207.671875;3120.2612580050654;2722.6545758778593;-0.18229172676219355;-0.3885944868977036;0;0;0;0;0;0;0;0
10/04/2022;Cash;42207.671875;30321.600463540755;41334.43896024526;0;0;0;0;0;0;0;0;0;0
10/04/2022;Portfolio;42207.671875;25747.75233284;27655.42494071086;0.0;0.0;0.007199768591937569;-0.0021660640389934505;123.72547130333086;-64.80752562872401;-840390.2857992611;256.1531319696339;57.7151465486845;68.26960401219199
11/04/2022;Options;39521.902344;-4861.266228760071;-11284.5516588543;-0.16870915154862237;-0.0820183661252252;0.00639153137220367;0.0014654354564841495;-10.581726963716171;-8.809345810011122;44408.05085063963;168.67878933584407;-6.100044099097307;-4.486231610032381
11/04/2022;Delta_hedge;39521.902344;6667.70661204375;3241.521856415588;-0.12300182785857425;-0.28552653059645694;0;0;0;0;0;0;0;0
11/04/2022;Cash;39521.902344;26774.15510950207;40815.57167970753;0;0;0;0;0;0;0;0;0;0
11/04/2022;Portfolio;39521.902344;28580.59549278575;32772.54187726881;0.0;0.0;0.01188515409323524;-0.00416030058078264;224.7240152262055;-106.34359142524366;-1521738.8053454477;374.2334959230569;105.02666179606948;116.76466676494361
12/04/2022;Options;40127.18;-6174.910719812035;-12337.807201502246;-0.04163052747582495;-0.0767734648615462;-0.01583178937249375;-0.0016545383122234436;-23.47506627322683;-8.372548600953774;258613.034650499;386.636275714331;-1.2971686820368475;-2.664797270736832
12/04/2022;Delta_hedge;40127.18;1670.5156695173735;3080.7026437229392;-0.15388349542160787;-0.3074675868451819;0;0;0;0;0;0;0;0
12/04/2022;Cash;40127.18;31771.346052028446;40976.39089240018;0;0;0;0;0;0;0;0;0;0
12/04/2022;Portfolio;40127.18;27266.951001733785;31719.286334620876;0.0;3.584154968755695e-18;0.02850078282962294;-0.007953327595280313;476.4173592765268;-216.4929136128443;-3248669.6028764104;622.9308502944938;220.4668565223895;242.32032009014665
13/04/2022;Options;41166.73;-988.6313246205511;-9514.634133404768;-0.012036287394288428;-0.12878676741457004;0.004536418345347337;-0.00039293296269915734;7.83408604588817;-1.0604543236965398;-87748.59734135684;45.414085786699125;-0.05578869573392959;-1.0372274004557467
13/04/2022;Delta_hedge;41166.73;495.4945933630753;5301.730081728403;-0.02401529887412848;-0.23112436021527016;0;0;0;0;0;0;0;0
13/04/2022;Cash;41166.73;32946.36712818274;38755.36345439472;0;0;0;0;0;0;0;0;0;0
13/04/2022;Portfolio;41166.73;32453.230396925264;34542.459402718356;0.0;6.582440259749965e-18;0.04775407667033991;-0.01449836363409106;800.3256453364644;-397.30557218572346;-5456340.604221011;1131.5275831367237;370.4707653446972;445.31641175760177
14/04/2022;Options;39981.64;-1000.0;-2981.6399999999994;-0.0;-0.1340927811539958;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
14/04/2022;Delta_hedge;39981.64;0.0;5361.2493026978445;0;-0.07457523003058403;0;0;0;0;0;0;0;0
14/04/2022;Cash;39981.64;33441.861721545814;38695.844233425276;0;0;0;0;0;0;0;0;0;0
14/04/2022;Portfolio;39981.64;32441.861721545814;41075.453536123125;0.0;1.1071024462007319e-17;0.09554162248005106;-0.024384837859234364;1601.2122105447768;-668.2293397262125;-10916505.364134535;1903.1193688066276;741.2011805149766;748.9789034696082
