;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
1;C;Short;42287.664063;40000;0.0;0.04;0;0.21698138730095337;-500.0;-500.0;;-0.0;;;;-0.0;;;-0.0;-0.0
2;C;Short;42287.664063;45000;0.0;0.04;0;0.19587838280871855;-0.0;-0.0;;;;;;;;;;
3;C;Short;42287.664063;50000;0.0;0.04;1;0.9397543462971145;-2.9889308984416396;-2414.000057283901;-0.7497406335542411;-0.1532964839117065;-0.5157034796743415;-0.0072612869113703364;-1327.7659902041319;-18.695413519645538;22741883.32257463;861.6551908701814;-20.266866672718933;-3.9259310660741513
4;C;Short;42287.664063;44000;0.0;0.04;2;0.8305964088895946;-248.27938969431452;-311.77864400389444;-0.20740882432989408;-0.18343062659760723;-0.020862178837805233;-0.012723428060852195;-94.94822369475901;-57.90703373210369;711334.4864125331;1182.332370206902;-10.816921881090082;-9.503048032745605
5;C;Short;42287.664063;39000;0.0;0.04;4;0.4338261506625906;-4799.589307019152;-4971.800640330235;-0.019800021413412205;-0.003087358002315675;0.007826485686486329;0.00149083867577684;37.20914146393672;7.087833468177318;-74441.23826812652;-38.77443447845406;-1.0739749494150361;0.7575498079654067
6;C;Short;42287.664063;47000;0.0;0.04;4;0.43058347404399416;-8.74706634277139;-17.066434154066883;-0.6012698083958216;-0.5448220233066738;-0.31094635797136105;-0.24823495028193715;-1467.2697321275184;-1171.3519700990105;2858455.032613663;6244.8534845667555;-64.79669133104895;-58.61063269114232
7;C;Short;42287.664063;50000;0.0;0.04;5;0.5891588040803571;-67.1955747358853;-2598.3424041290828;-0.40564760315552995;-0.1284143940826524;-0.1413593427908159;-0.0061269044263806095;-1140.8644019756487;-49.448214857000636;2437122.715277041;277.25570098016277;-54.198301802127396;-16.22114987433595
8;C;Short;42287.664063;42000;0.0;0.04;5;0.40473749066589987;-2716.676264784849;-4330.503860473298;-0.15408409964380945;-0.042515294290220024;0.005081090448315321;0.007970582634501996;28.17133969722761;44.19169335114431;-47780.654268549195;-183.51956108536564;-19.737547896412252;-4.4541499027698634
9;C;Short;42287.664063;38000;0.0;0.04;6;0.6150896273479505;-904.5432677210325;-929.1140317471436;-0.02377776169904326;-0.018415528488273412;0.004181186501271937;0.003598767717003524;42.27623748393924;36.38736483227725;-80045.62241195687;-188.5305623987983;-2.264837539568755;-1.3833745460175555
10;C;Short;42287.664063;48000;0.0;0.04;6;0.5959554758671731;-440.906391238341;-4306.276965235855;-0.2767680842740709;-0.08555190353561012;-0.05899346411765442;-0.00048613403247095614;-577.9311448979139;-4.762425840928048;1036543.8526604973;14.276063580207676;-43.85228782587466;-12.419490992155087
Options; ; ;42287.664063;;0.0;0.04;;;-9688.926192434787;-20378.88303735748;-0.07672870389261405;-0.06649986150443657;0.001052688560148424;7.493581307066277e-05;-8.100946712455315;1.3863458377651918;34149.574546384654;106.70082612520035;-8.991030006236802;-6.176875763654655
