;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
1;C;Short;42287.664063;40000;0.0;0.04;0;0.6212;-500.0;-500.0;;-0.0;;;;-0.0;;;-0.0;-0.0
2;C;Short;42287.664063;45000;0.0;0.04;0;0.6212;-0.0;-0.0;;;;;;;;;;
3;C;Short;42287.664063;50000;0.0;0.04;1;0.6212;-0.0011584408046554967;-2307.0624692594342;-1.6463026168617318;-0.1755032734292837;-2.602186076024728;-0.00509345832693813;-4428.706823086467;-8.668647432038261;50141954.277974494;250.0149537948033;-44.83020868114333;-4.5343362583365385
4;C;Short;42287.664063;44000;0.0;0.04;2;0.6212;-186.46738045163025;-262.5985268326749;-0.3128399062422943;-0.26721800568737714;-0.05748864561316352;-0.033865108557844886;-195.6818994788886;-115.27126266374377;1096699.4668514142;1760.8785441611055;-16.593967465331197;-14.094137297938468
5;C;Short;42287.664063;39000;0.0;0.04;4;0.6212;-4429.782161428776;-4863.309768835323;-0.03349052399809095;-0.008832329787562862;0.006542200990137992;0.0023617814003536117;44.53715348025994;16.078231297530557;-127567.93478251333;-125.81539257738646;-2.5743039997907893;0.12796385889721984
6;C;Short;42287.664063;47000;0.0;0.04;4;0.6212;-48.064245544486084;-67.8016769320584;-0.3197222615204396;-0.29578027971102505;-0.07860972936909477;-0.06461228037288157;-535.1491932502101;-439.8591623850303;1503944.3317787587;3383.092118691155;-33.94216564607557;-31.318386817646587
7;C;Short;42287.664063;50000;0.0;0.04;5;0.6212;-94.35511533757418;-2639.6529579104963;-0.3692741215867209;-0.124070679637441;-0.11556586213637873;-0.005751429463452669;-983.4179939605268;-48.94230113283284;2215011.326282751;290.43278782757505;-49.215633094071336;-15.626120498279585
8;C;Short;42287.664063;42000;0.0;0.04;5;0.6212;-2599.67961423135;-3943.958609870402;-0.10540167524241494;-0.04502495272619877;0.0017787607856021206;0.004805008571333766;15.136523287890922;40.888648280993635;-38536.31718219471;-258.93452451618447;-13.068722635947243;-4.797938729616267
9;C;Short;42287.664063;38000;0.0;0.04;6;0.6212;-902.2082495360837;-927.0449803895317;-0.02402758714823639;-0.018684448237413998;0.004144757643428131;0.0035823139007222955;42.32422106461735;36.5808229336223;-80932.0137838395;-191.4143374854621;-2.3059047366963936;-1.427580532177628
10;C;Short;42287.664063;48000;0.0;0.04;6;0.6212;-506.11817816401873;-4311.397897871951;-0.2583483888456216;-0.08388449635536277;-0.05057968622408735;-0.0004549257742718057;-516.494812313475;-4.645477659906504;965574.4040656143;14.855267834386751;-40.82439268695149;-12.145396661155527
Options; ; ;42287.664063;;0.0;0.04;;;-9266.676103134723;-19822.82688790187;-0.0737422420322731;-0.07174242525568363;-0.0014741477715780628;-0.000424259536302678;-15.279225635928638;2.2225421223825497;25493.213221284448;14.56484036629494;-8.362211792097183;-6.533915906389701
